Time - based data,,,,,,,,,Mass aggregated data,,,,,,
Date-time,"LC
kg","LC change
kg","LC flux (30 s)
kg/sm","d
cm","US1
pulses",1kg sum,1kg index,,1kg index,,"LC
kg","LC change
kg","LC flux
kg/sm","L7
cm","US1
pulses"
12/12/2013 01:07:30,38.030889,0.1,0.0,37.0,86,0.5,32,,140,12/12/2013 3:32,236.15,1.73,0.53,0,0
12/12/2013 01:08:00,38.054665,0.0,0.0,37.1,63,0.5,32,,141,12/12/2013 3:32,237.87,1.73,0.52,0,0
12/12/2013 01:08:30,38.054665,0.0,0.0,37.0,46,0.5,32,,142,12/12/2013 3:33,239.74,1.87,0.57,0,0
12/12/2013 01:09:00,38.054665,0.0,0.0,36.9,87,0.5,32,,143,12/12/2013 3:33,240.83,1.09,0.33,0,0
12/12/2013 01:09:30,38.054665,0.0,0.0,37.0,59,0.5,32,,144,12/12/2013 3:34,242.43,1.60,0.49,0,0
12/12/2013 01:10:00,38.054665,0.0,0.0,37.0,46,0.5,32,,145,12/12/2013 3:34,243.77,1.34,0.41,0,0
12/12/2013 01:10:30,38.077842,0.0,0.0,37.0,74,0.6,32,,146,12/12/2013 3:35,245.10,1.33,0.40,0,0
12/12/2013 01:11:00,38.077842,0.0,0.0,37.0,82,0.6,32,,147,12/12/2013 3:35,246.19,1.08,0.33,0,0
12/12/2013 01:11:30,38.077842,0.0,0.0,37.1,58,0.6,32,,148,12/12/2013 3:36,247.45,1.26,0.38,0,0
12/12/2013 01:12:00,38.077842,0.0,0.0,37.2,47,0.6,32,,149,12/12/2013 3:36,248.53,1.08,0.33,0,0
12/12/2013 01:12:30,38.077842,0.0,0.0,37.2,76,0.6,32,,150,12/12/2013 3:37,250.14,1.60,0.24,0,0
12/12/2013 01:13:00,38.077842,0.0,0.0,37.2,37,0.6,32,,151,12/12/2013 3:38,252.03,1.89,0.29,0,0
12/12/2013 01:13:30,38.077842,0.0,0.0,37.2,41,0.6,32,,152,12/12/2013 3:40,253.25,1.22,0.12,0,0
12/12/2013 01:14:00,38.077842,0.0,0.0,37.3,38,0.6,32,,153,12/12/2013 3:42,254.48,1.23,0.09,0,0
12/12/2013 01:14:30,38.077842,0.0,0.0,37.4,66,0.6,32,,154,12/12/2013 9:12,256.00,1.52,0.00,0,0
12/12/2013 01:15:00,38.077842,0.0,0.0,37.4,39,0.6,32,,155,12/12/2013 9:12,257.61,1.62,0.49,0,0
12/12/2013 01:15:30,38.077842,0.0,0.0,37.3,72,0.6,32,,156,12/12/2013 9:13,259.08,1.47,0.44,0,0
12/12/2013 01:16:00,38.077842,0.0,0.0,37.5,46,0.6,32,,157,12/12/2013 9:13,260.33,1.25,0.38,0,0
12/12/2013 01:16:30,38.077842,0.0,0.0,37.5,77,0.6,32,,158,12/12/2013 9:14,261.92,1.59,0.48,0,0
12/12/2013 01:17:00,38.077842,0.0,0.0,37.7,48,0.6,32,,159,12/12/2013 9:14,263.17,1.26,0.38,0,0
12/12/2013 01:17:30,38.077842,0.0,0.0,37.7,43,0.6,32,,160,12/12/2013 9:15,264.30,1.13,0.34,0,0
12/12/2013 01:18:00,38.077842,0.0,0.0,37.9,73,0.6,32,,161,12/12/2013 9:15,265.85,1.55,0.47,0,0
12/12/2013 01:18:30,38.077842,0.0,0.0,38.0,82,0.6,32,,162,12/12/2013 9:16,267.13,1.28,0.39,0,0
12/12/2013 01:19:00,38.077842,0.0,0.0,38.0,69,0.6,32,,163,12/12/2013 9:16,268.70,1.56,0.47,0,0
12/12/2013 01:19:30,38.077842,0.0,0.0,38.1,81,0.6,32,,164,12/12/2013 9:17,269.71,1.02,0.31,0,0
12/12/2013 01:20:00,38.077842,0.0,0.0,38.2,82,0.6,32,,165,12/12/2013 9:18,271.45,1.74,0.26,0,0
12/12/2013 01:20:30,38.077842,0.0,0.0,38.4,86,0.6,32,,166,12/12/2013 9:18,272.49,1.03,0.31,0,0
